label,nodeid,r,x,y
"sunset, apostl, none, narrated_ibn_umar, allah, sunris",69,1339,18,1339
"asr, morn, apostl, prayer, set, sun, abu, allah, rise, said, al_khudri",70,1051,19,1051
"asr, muawiya, prayer, rakat, allah, compani, apostl",71,1282,23,1282
"asr, morn, sunris, apostl, prayer, offer, sun, huraira, allah, set, abu",72,1115,18,1114
"day, time, sunset, sunris, companion, night, narrated_ibn_umar",73,364,14,363
"prophet, asr, aisha, prayer, rakat, till, allah",74,1603,23,1603
"prophet, asr, aisha, prayer, rakat, prostrat, hous, son, hisham, father, sister",75,708,18,707
"asr, aisha, apostl, prayer, rakat, fajr, allah",76,1400,22,1400
"prophet, asr, aisha, prayer, rakat, come",77,1116,19,1115
"cloudi, day, prophet, hadith, asr, prayer, no, deed, buraida, narrated_ibn_abu, malih",78,655,13,654
"prophet, sleep, peopl, apostl, hour, sun, adhan, back, slept, rahila, fajr, father, edg, bilal, prayer, qatada, abdullah_bin_abi, rest, statement, night, allah",79,766,19,766
"prophet, day, toward, apostl, prayer, buthan, disbeliev, trench, sun, asr, battl, jabir_bin_abdullah, al_khandaq, allah, umar_bin_al_khattab, ablut, maghrib",80,881,17,881
"ana, prophet, prayer, expiat, remembr, allah, anyon",81,1482,18,1482
"day, umar, sunset, jabir, prayer, buthan, disbeliev, trench, sun, asr, al_khandaq, maghrib, battl",82,239,15,238
"prophet, apostl, time, noon, er, us, pray, abi, sun, place, ayat, abu_l_minh, zuhr, medina, father, abu, al_aslami, narrat, isha, prayer, quran, asr, side, person, maghrib, famili, morn, allah, barza",83,650,17,650
"ana, prophet, time, speech, peopl, prayer, midnight, till, al_hasan, deed, neighbor, hadith",84,727,17,727
"prophet, day, peopl, mistak, mean, resurrect, centuri, earth, apostl, narrat, year, present, prayer, complet, tonight, thing, to_night, surfac, import, statement, nobodi, abdullah_bin_umar, night, allah, thelsha, taslim",85,670,17,669
"rahman_bin_abi, prophet, wife, peopl, companion, uthman, oath, guest, bakr, men, supper, rahman, hous, abdur, meal, suffa, food, abu, person",86,568,25,567
"ana, signal, word, peopl, prayer, jew, christian, adhan, iqama, call, stand, row, start, nounc, bilal, bell, fire",87,223,14,223
"muslim, day, time, peopl, jew, christian, practic, adhan, call, horn, bilal, medina, bell, apostl, umar, prayer, use, narrated_ibn_umar, trumpet, other, man, allah, problem",88,630,18,630
"ana, adhan, word, qad_qamat_is_salat, prayer, iqama, bilal",89,256,14,256
"muslim, adhan, time, word, prayer, mean, question, other, number, anas_bin_malik, propos, iqama, bilal, bell, fire",90,215,15,214
"ana, narrat, word, sub, ismali, aiyub, adhan, qad_qamatis_salat, iqama, bilal, qilaba, abu",91,268,15,267
"heart, apostl, prayer, huraira, flight, nois, adhan, attent, person, heel, order, iqama, pass, allah, complet, satan, abu",92,761,17,761
"ration, adhan, abdul, apostl, prayer, day, creatur, said, al_khudri, wilder, resurrect, jinn, sheep, rahman, voic, wit, allah, father, abu",93,689,19,689
"prophet, humaid, rode, apostl, khaibar, muhammad, till, abi, caus, ana, inhabit, talha, adhan, spade, prayer, basket, foot, armi, allahu_akbar, morn, anas_bin_malik, nation, night, allah, attack",94,625,21,625
"adhan, apostl, muadhdhin, abu, allah, said, al_khudri",95,1452,24,1452
"isa_bin_talha, muhammad, muhammadan, word, muawiya, rasulul_lah, anna, adhan, wa, allah, ash_hadu, apostl",96,673,19,673
"prophet, power, haiya, prayer, illa, alassala, companion, hisham, come, billah, yahya, la, muadhdhin, allah, muawiya",97,686,18,686
"muhammad, was_salatil, rabba, apostl, day, intercess, muhammadan, place, allahumma, adhan, athhu, qaimati, adtahu, mahmudan_il_ladhi, jabir_bin_abdullah, wa, lord, wab, al_wasilata, paradis, hadhihi_d_da, call, maqaman, prayer, resurrect, partner, watit_tammati, right, superior, judgment, allah, wal_fadilata",98,365,16,365
"apostl, time, peopl, lot, huraira, reward, moment, race, adhan, morn, row, fajr, zuhr, congreg, prayer, abu, allah, isha, way",99,772,19,772
"home, day, sermon, haiya, prayer, muddi, _ibn_, come, adhan, presenc, ala_s_sala, abdullah_bin_al_harith, abba, pray, muadhdhin, licens, prophet, peopl",100,463,16,463
"bilal, pronounc, drink, suhur, eat, salim_bin_abdullah, adhan, salim, maktum, till_ibn_um, night, allah, father, apostl",101,621,16,621
"sunna, muadh_dhin, compulsori, prayer, hafsa, adhan, congreg, rakat, iqama, dawn, fajr, prophet",102,506,16,506
"prophet, adhan, aisha, prayer, rakat, iqama, fajr",103,964,17,964
"adhan, night, apostl, abdullah_bin_umar, suhur, till_ibn_um, bilal, allah, maktum, eat, drink",104,772,17,772
"prophet, masud, sleep, sky, adhan, abdullah_bin_masud, finger, dawn, bilal, earth, gestur, ibn, prayer, suhur, az_zuhri, tahajjud, index, morn, night, right",105,351,15,351
"prophet, adhan, aisha, bilal, maktum, suhur, till_ibn_um, night",106,739,17,739
"adhan, iqama, abdullah_bin_mughaff, prayer, thrice, one, al_muzani, allah, apostl",107,993,18,993
"prophet, time, pillar, way, prayer, companion, mosqu, adhan, iqama, shuba, interv, maghrib, anas_bin_malik, rakat, muadhdhin",108,505,15,504
"day, aisha, compulsori, apostl, prayer, side, adhan, iqama, morn, rakat, muadhdhin, allah",109,919,19,919
"prophet, adhan, time, abdullah_bin_mughaff, prayer, pray, iqama, one",110,800,14,799
"prophet, kind, night, time, prayer, merci, men, malik_bin_huwairth, adhan, go, tribe, twenti, religion, famili, long, amongst",111,468,16,468
"prophet, prayer, dhar, journey, adhan, hell, muadhdhin, zuhr, cooler, compani, abu",112,756,21,755
"prophet, adhan, pronounc, prayer, iqama, intent, men, malik_bin_huwairth, journey",113,674,13,673
"prophet, home, religion, night, peopl, prayer, day, thing, merci, adhan, malik, order, twenti, kind, famili, long, age",114,563,16,563
"dajnan, home, apostl, prayer, nafi, mountain, name, adhan, muadhdin, pray, _ibn_umar, night, allah",115,741,18,741
"front, aun_bin_abi, apostl, prayer, anza, place, juhaifa, al_abtah, iqama, bilal, allah, father",116,797,18,797
"adhan, side, aun_bin_abi, prayer, bilal, juhaifa, father, face",117,240,15,240
