cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4242,2,0.0021077134,50,4242.294662090318,riba_fadl
1,4243,1,0.0011092481,0,4243.0,surat_al_mursalat
1,4243,1,0.0011092481,0,4243.0,suraqa_bin_juhum
1,4230,14,0.0116758341,42,4230.208505499463,unbeliev
1,4243,1,0.0011092481,0,4243.0,that_ibn_sayyad
1,4222,22,0.0209410422,31,4222.1138070876295,set
1,4241,3,0.0030436677,0,4241.0,qahtan
1,4243,1,0.0011092481,0,4243.0,walid_bin_utba
1,2802,1442,0.5430508541,23,2802.094395269367,peopl
1,4243,1,0.0011092481,0,4243.0,hurdl
1,4243,1,0.0011092481,0,4243.0,at_tah
1,4241,3,0.0030436677,0,4241.0,shower
1,4241,3,0.0030436677,33,4241.128387587435,grandson
1,4242,2,0.0021077134,0,4242.0,ghair_il_maghdubi
1,4243,1,0.0011092481,0,4243.0,pavilion
1,4242,2,0.0021077134,50,4242.294662090318,al_harith_bin_
1,4243,1,0.0011092481,0,4243.0,hram
1,4240,4,0.0049203590,50,4240.294801072208,vanish
1,4240,4,0.0039362872,50,4240.294801072208,slipper
1,4243,1,0.0011092481,0,4243.0,daniq
1,4237,7,0.0064390455,0,4237.0,usaid_bin_hudair
1,4239,5,0.0047958224,20,4239.047180676337,haya
1,4042,202,0.1429496720,25,4042.077312471893,believ
1,4243,1,0.0011092481,0,4243.0,wabihamdika
1,4243,1,0.0011092481,0,4243.0,arwa
1,4243,1,0.0011092481,0,4243.0,allright
1,4243,1,0.0011092481,0,4243.0,baqi_i_gharqad
1,4240,4,0.0039362872,0,4240.0,paus
1,4242,2,0.0042154269,0,4242.0,retort
1,4230,14,0.0116758341,28,4230.092670379693,alqama
1,4242,2,0.0021077134,0,4242.0,maghala
1,4242,2,0.0031615701,0,4242.0,as_sadi
1,4230,14,0.0150117866,28,4230.092670379693,nail
1,4230,14,0.0125098222,50,4230.295497952832,start
1,4210,34,0.0244200605,41,4210.199638972005,author
1,4243,1,0.0011092481,0,4243.0,baqia
1,4243,1,0.0011092481,0,4243.0,ubaidullah_bin_adi
1,4239,5,0.0047958224,40,4239.1887195547215,joint
1,4243,1,0.0011092481,0,4243.0,wouldnt
1,4241,3,0.0040582235,66,4241.513527032538,issu
1,4227,17,0.0137543741,23,4227.0625734663545,qadr
1,4243,1,0.0011092481,0,4243.0,sufyan_bin_abu
1,4242,2,0.0021077134,50,4242.294662090318,at_talbina
1,4243,1,0.0011092481,0,4243.0,umaiya_bin_zaid
1,4241,3,0.0030436677,0,4241.0,jahl_bin_hisham
1,4234,10,0.0122690265,10,4234.011809147442,level
1,4238,6,0.0075048451,16,4238.030202818286,second
1,4242,2,0.0063231403,0,4242.0,and_ibn_rawaha
1,4237,7,0.0073589092,14,4237.02312950968,respons
1,4242,2,0.0031615701,0,4242.0,practis
1,4243,1,0.0022184962,0,4243.0,threshold
1,4243,1,0.0011092481,0,4243.0,abdullah_bin_abdullah_bin_umar
1,4243,1,0.0011092481,0,4243.0,sufyan_bin_al_harith_bin_abdul
1,4243,1,0.0011092481,0,4243.0,cackl
1,4243,1,0.0011092481,0,4243.0,ubaida_bin_said_bin_al_a
1,4236,8,0.0072301845,25,4236.073771784434,burd
1,4243,1,0.0022184962,0,4243.0,stress
1,4238,6,0.0056286338,16,4238.030202818286,cavalri
1,4242,2,0.0021077134,50,4242.294662090318,illallah
1,4233,11,0.0095091946,27,4233.086108266639,ubaidullah_bin_abdullah
